,,2019,2020,2021
January,,,,
Exports,Goods,"131,228","85,019","561,389"
,Services,"56,883","220,441","76,130"
,,,,
Imports,Goods,"191,745","4,200","498,762"
,Services,"284,195","146,332",223
,,,,
February,,,,
Exports,Goods,"135,783","167,009","689,123"
,Services,"127,419","124,981","820,912"
,,,,
Imports,Goods,"146,983","189,422","897,141"
,Services,"117,551","155,733","678,134"
,,,,
March,,,,
Exports,Goods,"369,121","212,455","478,312"
,Services,"151,821","99,876","578,134"
,,,,
Imports,Goods,"242,730","189,509","319,034"
,Services,"84,111","178,223","210,780"
